tag,slope,trend
doctrine-mongodb,-5.47406743769846E-08,negative
xcdatamodel,-5.46336937109235E-08,negative
android-sharing,-5.46070938331917E-08,negative
mechanize,-5.46008762277045E-08,neutral
sqlsrv,-5.45899954452624E-08,neutral
exacttarget,-5.45555726296346E-08,negative
security-roles,-5.45027560773246E-08,neutral
wp-api,-5.44932026700769E-08,negative
android-database,-5.44112779888734E-08,negative
android-maps-v2,-5.43958528930019E-08,neutral
rampart,-5.43900800051264E-08,negative
jcanvas,-5.43482778811612E-08,negative
r5rs,-5.43028671397407E-08,negative
gulp-uglify,-5.42946542473823E-08,negative
urlvariables,-5.42880093018435E-08,negative
vagrant-windows,-5.42175711178746E-08,negative
leanft,-5.42000141248283E-08,neutral
wordpress-thesis-theme,-5.41876511421016E-08,negative
webkit-transform,-5.41868419057417E-08,negative
katalon,-5.41795333404994E-08,negative
log4net-configuration,-5.41722839440225E-08,negative
jspinner,-5.41619711618367E-08,negative
microsoft-graph-files,-5.41168921319794E-08,neutral
uiimagejpegrepresentation,-5.4111813765485E-08,negative
vs-web-site-project,-5.40893706083519E-08,neutral
netlogo,-5.40824976265225E-08,neutral
javah,-5.39978461356154E-08,negative
nstimeinterval,-5.39890358041826E-08,negative
enyo,-5.39766420208571E-08,neutral
google-app-engine-php,-5.39758491726012E-08,negative
deezer,-5.39523579868618E-08,negative
indic,-5.3899362439048E-08,negative
nspersistentcloudkitcontainer,-5.38783600407488E-08,negative
workflowservice,-5.38204510759206E-08,negative
cql3,-5.37574316119305E-08,neutral
coldfusion-2018,-5.37359238315642E-08,negative
moped,-5.37286410651727E-08,negative
spring-webflow-2,-5.37163223050061E-08,negative
pdfviewer,-5.3713273991324E-08,negative
installshield-le,-5.36772116961837E-08,negative
jython-2.5,-5.36715428501948E-08,negative
zurb-foundation,-5.36252222306257E-08,neutral
wpftoolkit,-5.359456972912E-08,neutral
jquery-filter,-5.35816405662589E-08,negative
addobserver,-5.35367168295973E-08,negative
quartz-2d,-5.35120755742005E-08,neutral
c#-7.3,-5.34596650915871E-08,negative
nuspec,-5.3442929800537E-08,negative
google-caja,-5.34366345012718E-08,negative
angular-ui-select,-5.34091199827097E-08,negative
jain-sip,-5.3397846614287E-08,negative
drupal-blocks,-5.33812766086774E-08,negative
spray-client,-5.32366771274778E-08,negative
vertica,-5.32202132607853E-08,neutral
smslib,-5.31517934572685E-08,negative
singleton-methods,-5.31063593615308E-08,negative
java-ee-5,-5.30756356116588E-08,negative
documentlistener,-5.30693285199561E-08,negative
crate,-5.28865123455994E-08,negative
hadoop-plugins,-5.28396093718788E-08,negative
textlabel,-5.28177723247229E-08,negative
nspanel,-5.28170270665739E-08,negative
rds,-5.28151231255615E-08,neutral
conditional-comments,-5.27832884593068E-08,negative
ibdesignable,-5.27635448770103E-08,negative
dbx,-5.27414969222979E-08,neutral
build-numbers,-5.27176798276427E-08,negative
websphere-7,-5.2710812461291E-08,neutral
lite-server,-5.26881191020993E-08,negative
fastscroll,-5.26170733252863E-08,negative
outlook-2013,-5.25932749462962E-08,negative
rubymine,-5.25900258913436E-08,neutral
jsfl,-5.25662841553045E-08,negative
g++4.8,-5.25614882178312E-08,negative
apache-storm-topology,-5.25594328957558E-08,negative
angularjs-ng-disabled,-5.24849814289933E-08,negative
grizzly,-5.24615319247053E-08,negative
extjs5,-5.24198234303473E-08,neutral
phpbb3,-5.23958394264083E-08,negative
ioerror,-5.23564443478741E-08,negative
method-hiding,-5.23419542460373E-08,negative
page-jump,-5.22879280419365E-08,negative
secure-gateway,-5.22702815267585E-08,negative
physijs,-5.224365706892E-08,negative
stdarray,-5.21873519225801E-08,negative
awt-eventqueue,-5.21715260946665E-08,negative
core.async,-5.21565407633905E-08,negative
social-framework,-5.21540315083646E-08,negative
fotorama,-5.21424484146044E-08,negative
date-math,-5.21068818720677E-08,negative
comparison-operators,-5.20802392196233E-08,negative
vscode-code-runner,-5.20581475537661E-08,negative
counterclockwise,-5.20078199720362E-08,negative
gatsby-image,-5.19400150883177E-08,negative
debugview,-5.19294468560919E-08,negative
datanucleus,-5.19257854016093E-08,neutral
view,-5.19202283157189E-08,neutral
caliper,-5.19183954236657E-08,negative
interceptorstack,-5.191491075825E-08,negative
boost-preprocessor,-5.18974966144129E-08,negative
hibernate-tools,-5.17889970542034E-08,negative
f#-data,-5.17844627162732E-08,negative
android-cardview,-5.17757229584331E-08,neutral
yii-extensions,-5.17322120319199E-08,neutral
documentfilter,-5.17179172621166E-08,negative
enterprise-distribution,-5.16953453020566E-08,negative
pyflakes,-5.1685586750675E-08,negative
game-center-leaderboard,-5.16739752581832E-08,negative
powerview,-5.16704739667271E-08,negative
toggleclass,-5.15340485924328E-08,negative
illegalargumentexception,-5.15263987262067E-08,negative
modelbinders,-5.15165865808428E-08,neutral
jsperf,-5.1516110270853E-08,negative
angularjs-rootscope,-5.14829365195749E-08,negative
apc,-5.14483358203368E-08,negative
fortran-common-block,-5.14276427691008E-08,negative
lithium,-5.13760179966041E-08,neutral
bitmapfactory,-5.13736673115501E-08,negative
yolov4,-5.13540210746752E-08,neutral
azure-vm-role,-5.13085047827894E-08,negative
spring-social-facebook,-5.13040575636212E-08,negative
wix3.5,-5.1299257079837E-08,neutral
aquery,-5.12980021887203E-08,negative
root-framework,-5.12970942593409E-08,negative
qtquickcontrols,-5.12866815921175E-08,negative
writeablebitmap,-5.12800146266993E-08,negative
xquery-update,-5.12775376865596E-08,negative
jboss-esb,-5.12728990121603E-08,negative
castle-windsor,-5.12640359828669E-08,neutral
setbounds,-5.12188388001904E-08,negative
sahi,-5.11302850171633E-08,negative
bpopup,-5.10625674850585E-08,negative
cyclic-graph,-5.10223868699067E-08,neutral
nock,-5.10016571602106E-08,negative
home-button,-5.09961379469549E-08,negative
jtogglebutton,-5.09940823742449E-08,negative
mule,-5.09594413554997E-08,neutral
self-extracting,-5.09516425946272E-08,negative
choregraphe,-5.09303222536927E-08,negative
autopostback,-5.0903195694013E-08,negative
nio,-5.08981109914E-08,neutral
context-free-grammar,-5.08666973979617E-08,neutral
eco,-5.08645892387907E-08,neutral
aws-glue-spark,-5.08437303783746E-08,negative
ng-hide,-5.08042731595216E-08,negative
smf,-5.07912070854789E-08,negative
viewmodel,-5.0775867580851E-08,neutral
ghci,-5.07224759464726E-08,neutral
mallet,-5.06866143611874E-08,negative
robo3t,-5.06248374669139E-08,negative
extras,-5.05898479594163E-08,negative
skeleton-css-boilerplate,-5.05896145365131E-08,negative
wso2-message-broker,-5.05830124825772E-08,negative
mercurial-subrepos,-5.05675918602172E-08,negative
agsxmpp,-5.04717006913895E-08,negative
happstack,-5.04598633203642E-08,negative
predictionio,-5.03955236248053E-08,negative
attask,-5.03929066773357E-08,negative
dynamics-ax-2009,-5.03831715312525E-08,neutral
googleway,-5.03807287836412E-08,negative
luminus,-5.03357173673838E-08,negative
security-framework,-5.02791604403007E-08,negative
actionlistener,-5.0274426400542E-08,neutral
n-layer,-5.02522035738964E-08,negative
collabnet,-5.01764709198636E-08,negative
angular-ui-tree,-5.01688261825358E-08,negative
boost-iterators,-5.01021557883833E-08,negative
sails.io.js,-5.00800623346903E-08,negative
walkthrough,-5.00594199025037E-08,negative
pry,-5.00408098504918E-08,negative
boost-any,-4.99943062693825E-08,negative
nsinvocation,-4.99105841559704E-08,negative
explicit-specialization,-4.99046725094679E-08,negative
nsmetadataquery,-4.98496713474239E-08,negative
codeigniter-hmvc,-4.98495812516611E-08,negative
dynamic-arrays,-4.9825292733805E-08,neutral
grunt-contrib-cssmin,-4.98049323721371E-08,negative
guitar,-4.97758812493947E-08,negative
meta-predicate,-4.97693298976523E-08,negative
uppercase,-4.97477389267311E-08,neutral
xdebug-3,-4.97184847066114E-08,negative
plone,-4.96892412379911E-08,neutral
css3pie,-4.96454816050747E-08,negative
xlconnect,-4.9623597832287E-08,negative
freezed,-4.96078782684221E-08,negative
oracle10g,-4.93865488471276E-08,neutral
petapoco,-4.9289309128762E-08,negative
dotnetbrowser,-4.91755864411746E-08,negative
decode,-4.91036247469935E-08,neutral
method-missing,-4.90971841117175E-08,negative
websocket++,-4.90895680963393E-08,negative
gson,-4.90885149300444E-08,neutral
unmanaged-memory,-4.90878651914638E-08,negative
activeperl,-4.90704630659395E-08,neutral
jquery-scrollify,-4.90570978891562E-08,negative
nsusernotification,-4.90521010709156E-08,negative
browser-plugin,-4.8990949095294E-08,neutral
shoes,-4.89663247518008E-08,neutral
supercsv,-4.89632144438736E-08,negative
angular-schema-form,-4.89441809522171E-08,negative
angular-ui-grid,-4.89428524813544E-08,neutral
navigationcontroller,-4.89191934551659E-08,negative
angular-hybrid,-4.89067775861164E-08,negative
xslt-grouping,-4.88946494759052E-08,negative
passport-facebook,-4.88755675830387E-08,negative
velocity.js,-4.87898585707721E-08,negative
bootstrap-slider,-4.87665754571498E-08,negative
ruby-mocha,-4.87590481163565E-08,negative
ng-pattern,-4.87432595596516E-08,negative
command-objects,-4.87055027232375E-08,negative
mupad,-4.86707620205483E-08,negative
orientjs,-4.86535578395191E-08,negative
gridview-sorting,-4.86182554218671E-08,negative
pointer-to-member,-4.86114127626194E-08,negative
dajaxice,-4.85867783281449E-08,negative
skstorereviewcontroller,-4.85712822906199E-08,negative
nomenclature,-4.8568784118903E-08,neutral
modifiers,-4.84861216831411E-08,negative
callout,-4.84654803901817E-08,negative
chutzpah,-4.84551087954545E-08,negative
fortran95,-4.84353457143297E-08,negative
itemtemplate,-4.83954932132874E-08,negative
advanceddatagrid,-4.83904652677432E-08,neutral
rebol3,-4.83621919977909E-08,negative
openshift-enterprise,-4.8357680123559E-08,negative
amf,-4.83502966454001E-08,neutral
morphological-analysis,-4.83036481896897E-08,negative
umbraco6,-4.82560025884801E-08,negative
playframework-2.3,-4.82550761529556E-08,neutral
contao,-4.82436678456391E-08,negative
custom-tag,-4.82303834467065E-08,negative
tfs-web-access,-4.82078170480182E-08,negative
dataflow,-4.82051626875062E-08,neutral
ios8-share-extension,-4.8123161475624E-08,negative
jscript,-4.81222887007119E-08,neutral
duration,-4.80759669101885E-08,neutral
opencart-3,-4.80676928257922E-08,neutral
eventlog-source,-4.80115319165618E-08,negative
partition-problem,-4.80051364361443E-08,negative
function-qualifier,-4.80048086467064E-08,negative
account-kit,-4.80036661260812E-08,negative
git-tf,-4.79797982152115E-08,negative
env,-4.79522885719654E-08,negative
mkpinannotationview,-4.78991256338587E-08,negative
fishpig,-4.78979569516391E-08,negative
uitabcontroller,-4.78900766824086E-08,negative
slidify,-4.78774626777678E-08,negative
nimbus,-4.78709463398517E-08,negative
dbplyr,-4.78433757461371E-08,negative
restrictions,-4.77658442789465E-08,negative
appframework,-4.77443917373271E-08,negative
uisegmentedcontrol,-4.76971668936829E-08,neutral
windows-10-desktop,-4.76951244968363E-08,negative
pg-promise,-4.76683584567898E-08,negative
jquery-calculation,-4.76643363234403E-08,negative
boost-signals2,-4.76582210780547E-08,negative
jsonmodel,-4.76531798457383E-08,negative
statelistdrawable,-4.76124115015687E-08,negative
riemann,-4.75961530310657E-08,negative
stripping,-4.7553873665168E-08,negative
coinmarketcap,-4.75508753213479E-08,negative
breadth-first-search,-4.7543632438592E-08,neutral
payflowlink,-4.75359708330528E-08,negative
.net-cf-3.5,-4.75296323208388E-08,negative
k2,-4.74469339397183E-08,negative
notepad,-4.74380879334636E-08,negative
ccl,-4.74144121133066E-08,negative
realm-java,-4.74040711946698E-08,negative
prepare,-4.73959856261046E-08,negative
mongohq,-4.737512262922E-08,negative
datafield,-4.73613506069018E-08,negative
stagefright,-4.73564116985468E-08,negative
quirks-mode,-4.73521965958156E-08,negative
ember-rails,-4.73500637692143E-08,negative
nose,-4.72462134363529E-08,negative
linkedin-j,-4.72366915311925E-08,negative
java-service-wrapper,-4.72256237019578E-08,negative
psgi,-4.72115101240246E-08,negative
jbox2d,-4.71746680160704E-08,negative
heightforrowatindexpath,-4.71358900302403E-08,negative
django-syncdb,-4.71044493740928E-08,negative
click,-4.70731126207713E-08,neutral
linq-to-sql,-4.7057407936733E-08,neutral
objectdatasource,-4.70480471884154E-08,neutral
jetty-8,-4.70298760171002E-08,negative
cilk,-4.70119524072035E-08,negative
fiddlercore,-4.69912530758313E-08,negative
floppy,-4.69903631063866E-08,negative
name-clash,-4.69173571065599E-08,negative
axes,-4.69128955398554E-08,negative
activejdbc,-4.69032193489244E-08,negative
oz,-4.68929456752643E-08,negative
apache-tiles,-4.6864132315713E-08,negative
entity-framework-4,-4.68552463615644E-08,neutral
aquamacs,-4.68283269318078E-08,neutral
glulookat,-4.67528183995687E-08,negative
blueprism,-4.67303812901403E-08,neutral
llblgenpro,-4.67182092854822E-08,neutral
ruby-on-rails-4.2,-4.66941799060904E-08,neutral
rowcommand,-4.66824811683612E-08,negative
springboard,-4.66522631455222E-08,negative
jquery-load,-4.66520946085892E-08,negative
grocery-crud,-4.65878674752947E-08,negative
hippocms,-4.64774411031177E-08,negative
android-4.1-jelly-bean,-4.64471524962873E-08,neutral
shrine,-4.64463504376606E-08,negative
acts-as-votable,-4.64362051841206E-08,negative
sakai,-4.63838845688202E-08,negative
radgridview,-4.63747975675629E-08,negative
gcc7,-4.6374315859701E-08,negative
multi-tier,-4.6356295798749E-08,neutral
ghost,-4.6263875006147E-08,negative
loopj,-4.62603584681528E-08,negative
codeigniter-datamapper,-4.62597981201989E-08,negative
chicken-scheme,-4.62373475095815E-08,negative
mmo,-4.62334374271482E-08,negative
cacti,-4.6207101579807E-08,negative
word-2007,-4.62055071204258E-08,neutral
go-cd,-4.62043413320761E-08,negative
chars,-4.61904417837915E-08,negative
sql-server-2012-datatools,-4.61510460987498E-08,negative
evernote,-4.61046773165288E-08,negative
flask-restless,-4.61035155756653E-08,negative
zend-validate,-4.61006031046782E-08,negative
metaio,-4.60872888226493E-08,negative
rows-affected,-4.60802044466703E-08,negative
quandl,-4.60570532512796E-08,negative
smartgit,-4.59952143931979E-08,negative
infovis,-4.59939354663223E-08,negative
python-idle,-4.59686969422592E-08,neutral
uipagecontrol,-4.59257188007004E-08,negative
karma-webpack,-4.59053598624298E-08,negative
fulfillment,-4.58654715683816E-08,neutral
spark-streaming-kafka,-4.5762964505815E-08,negative
office-js-helpers,-4.57425380469182E-08,negative
fortran2003,-4.5731377805937E-08,negative
elementref,-4.56960692526023E-08,negative
sql-server-2014-express,-4.56295591734347E-08,negative
facebook-friends,-4.56028295364069E-08,negative
sorcery,-4.55762108127781E-08,negative
type-mismatch,-4.55380852107472E-08,negative
libspotify,-4.55189658068484E-08,negative
material-table,-4.55009078883591E-08,neutral
google-maps-static-api,-4.54229369401388E-08,negative
matcher,-4.54001649958697E-08,negative
form-load,-4.53941137479863E-08,negative
background-agents,-4.53922508791503E-08,negative
camera-overlay,-4.53837025051452E-08,negative
xla,-4.53476920189594E-08,neutral
sharepoint-2007,-4.53364014267363E-08,neutral
webarchive,-4.53277319776748E-08,negative
iphone-standalone-web-app,-4.52967491455479E-08,negative
nsthread,-4.52833994829652E-08,neutral
sqlitemanager,-4.52276108841759E-08,negative
news-ticker,-4.51702459308705E-08,negative
toolstripmenu,-4.51582821731999E-08,negative
asp.net-bundling,-4.5114399704307E-08,negative
mediatemple,-4.51004061613989E-08,neutral
unicorn,-4.50869978008354E-08,neutral
boost-python,-4.50606573622567E-08,neutral
fipy,-4.49424273571242E-08,negative
kvc,-4.49287288183862E-08,negative
jasmine-jquery,-4.49168557771219E-08,negative
jasper-plugin,-4.49144554791934E-08,negative
wunderground,-4.48813169948443E-08,negative
pressed,-4.48525062833353E-08,negative
cocoonjs,-4.48072121832829E-08,negative
react-native-image-picker,-4.47834756119774E-08,negative
case-class,-4.47395959713015E-08,negative
lit-html,-4.47216897897666E-08,negative
nsurlsessiondownloadtask,-4.46657802023029E-08,negative
private-pub,-4.46396968992307E-08,negative
jsni,-4.45766421640593E-08,negative
asp.net-boilerplate,-4.4575765858858E-08,neutral
jnetpcap,-4.45702174922809E-08,negative
chartboost,-4.45576976914604E-08,negative
ng-storage,-4.45315873913578E-08,negative
superfish,-4.45160435737434E-08,neutral
elgg,-4.45104007613141E-08,negative
sitecore-workflow,-4.44720348005205E-08,negative
aurelia-templating,-4.44385087293262E-08,negative
uiactivity,-4.4335780253293E-08,negative
react-bootstrap-table,-4.4316017771444E-08,neutral
soundpool,-4.42981427537219E-08,negative
ngx-bootstrap-modal,-4.42739727240235E-08,negative
tomcat5.5,-4.42479894953357E-08,negative
visual-tree,-4.41606292632248E-08,negative
seam2,-4.41354642200114E-08,negative
unsigned-integer,-4.4102683971305E-08,negative
procfile,-4.40554387611536E-08,negative
doctrine-odm,-4.40026293669909E-08,neutral
window.onunload,-4.39797022739366E-08,negative
windows-dev-center,-4.39711931827641E-08,negative
node-fetch,-4.39226163178139E-08,negative
spooler,-4.38988601853627E-08,negative
sl4a,-4.38634596834094E-08,negative
google-feed-api,-4.38111266998074E-08,negative
ember-components,-4.37993432530891E-08,negative
winzip,-4.37741158117589E-08,negative
uisearchbardisplaycontrol,-4.37686184903381E-08,negative
python-3.2,-4.37633081757661E-08,neutral
tabbedpage,-4.37454378626159E-08,negative
researchkit,-4.37043763519718E-08,negative
copying,-4.36648021078509E-08,neutral
temporary-directory,-4.36591895945085E-08,neutral
eventsource,-4.36424315224728E-08,negative
max-size,-4.36185395149331E-08,negative
schematron,-4.35886194224099E-08,negative
facebook-requests,-4.34398086139812E-08,negative
grunt-contrib-connect,-4.34250752363124E-08,negative
hawq,-4.3410199177007E-08,negative
osx-snow-leopard,-4.33885519274165E-08,neutral
uikeyboardtype,-4.33866784785603E-08,negative
dotless,-4.33779995236706E-08,negative
flickr,-4.33231535460592E-08,neutral
ironworker,-4.33153152987823E-08,negative
nancy,-4.33046090720379E-08,neutral
sunspot,-4.32952786953854E-08,neutral
rmysql,-4.32009142236614E-08,negative
symbolicatecrash,-4.31889124678895E-08,negative
dozer,-4.3165422631438E-08,negative
karma-mocha,-4.3082939758743E-08,neutral
ie8-compatibility-mode,-4.30473896045865E-08,neutral
systray,-4.30470431508598E-08,neutral
django-contrib,-4.30198388529199E-08,neutral
amr,-4.29951210562149E-08,negative
jsmpp,-4.29753751296283E-08,negative
dynamic-usercontrols,-4.29687723320592E-08,negative
language-concepts,-4.29675745065282E-08,negative
gwidgets,-4.295327183925E-08,negative
page-curl,-4.29473576790229E-08,negative
antixsslibrary,-4.2901286496558E-08,neutral
static-content,-4.28908680333446E-08,negative
uipageviewcontroller,-4.28765482489373E-08,neutral
bimap,-4.28762118567648E-08,negative
urlconnection,-4.28338000995356E-08,negative
meteor-up,-4.2805357908965E-08,negative
meteor-blaze,-4.27757502981565E-08,neutral
streamsets,-4.27354739742919E-08,negative
spry,-4.27026777459719E-08,neutral
jung2,-4.27019523100146E-08,negative
jquery-data,-4.26275675502294E-08,negative
grunt-contrib-uglify,-4.26130304744833E-08,negative
c2664,-4.26125218994268E-08,negative
fltk,-4.25137832884282E-08,negative
conversation-scope,-4.24800088456617E-08,negative
qpushbutton,-4.24648941446907E-08,negative
balloon-tip,-4.24246173969308E-08,negative
onejar,-4.24145284268419E-08,negative
application-bar,-4.23941210610095E-08,negative
nsmutablestring,-4.23888942391198E-08,negative
nodeclipse,-4.23851091584464E-08,negative
ios-universal-app,-4.23845294459845E-08,negative
firebird2.5,-4.23813593153278E-08,negative
httplib,-4.23562037889865E-08,negative
selectionmodel,-4.23418676561775E-08,negative
sparc,-4.2318307700633E-08,negative
zend-framework2,-4.22618604652397E-08,neutral
opencmis,-4.22595440891807E-08,negative
sun-codemodel,-4.22451982084764E-08,negative
laravel-4.2,-4.22368224492868E-08,negative
stripe-connect,-4.22317995900055E-08,negative
stdstring,-4.21632219045268E-08,neutral
screen-lock,-4.21256554848384E-08,negative
neon,-4.20399715846366E-08,neutral
androidviewclient,-4.20216802919926E-08,negative
wpd,-4.20103048119124E-08,negative
wcf-endpoint,-4.19947454704831E-08,negative
long-click,-4.19870677734362E-08,negative
zinnia,-4.19272393607717E-08,negative
csslint,-4.1926470472015E-08,negative
relaymodern,-4.19184401276138E-08,negative
collection-select,-4.19040738025956E-08,negative
xpcom,-4.1899774530632E-08,neutral
trusted-timestamp,-4.18985264993875E-08,negative
angularjs-bootstrap,-4.18913935325684E-08,negative
nsunknownkeyexception,-4.18719871043705E-08,negative
cocos2d-android,-4.18693943979281E-08,neutral
visual-studio-emulator,-4.18354908340331E-08,negative
angularjs-validation,-4.18031489319287E-08,negative
c++-cli,-4.17140713069328E-08,neutral
desktop-app-converter,-4.1686665628348E-08,negative
java-7,-4.1666133938945E-08,neutral
cydia,-4.16649238376513E-08,negative
scripting-bridge,-4.16634999387135E-08,negative
directshow.net,-4.16560045091885E-08,negative
docker-cloud,-4.16454589048255E-08,negative
code-maintainability,-4.16252799619881E-08,negative
sitemesh,-4.16131972305956E-08,neutral
knockout-2.0,-4.15846954017258E-08,neutral
mongoengine,-4.15697835882018E-08,neutral
grammar,-4.15350222787345E-08,neutral
zend-form-element,-4.15211296296391E-08,neutral
voicemail,-4.15115825703284E-08,negative
sts-securitytokenservice,-4.14975614444519E-08,negative
spring-mybatis,-4.14429855061798E-08,neutral
buttonclick,-4.14304993557743E-08,negative
replaykit,-4.14232837670212E-08,negative
bolt-cms,-4.1398694799426E-08,neutral
accumulo,-4.13091519428313E-08,negative
codeigniter-routing,-4.12968671100157E-08,negative
nested-class,-4.12449710674661E-08,neutral
checkboxfor,-4.12303511731463E-08,negative
smoothstate.js,-4.12021717425713E-08,negative
acts-as-list,-4.11911584570404E-08,negative
coords,-4.1167989278189E-08,negative
flashdevelop,-4.11598111634815E-08,neutral
iris-dataset,-4.11280440221434E-08,negative
nesc,-4.11172757450609E-08,negative
privilege,-4.10439329370669E-08,negative
hotmail,-4.10391568614696E-08,negative
armv6,-4.09957072254965E-08,neutral
adorner,-4.09847122013902E-08,neutral
directx-10,-4.09638809475413E-08,negative
yodlee,-4.08332306102744E-08,neutral
pyqt,-4.08257414396568E-08,neutral
sourcetree,-4.07397683028567E-08,negative
sunspot-solr,-4.07163599862937E-08,negative
cordova-plugin-file,-4.06644913991249E-08,negative
user-variables,-4.06090490292804E-08,negative
forceclose,-4.05991726807604E-08,negative
cgaffinetransformscale,-4.05862074421687E-08,negative
sql-server-2008r2-express,-4.05686824526261E-08,negative
boost-regex,-4.0476453171612E-08,neutral
android-intentservice,-4.04754085047166E-08,negative
translucency,-4.045626023822E-08,negative
deeplink,-4.04185788213834E-08,negative
redcarpet,-4.03710898283359E-08,negative
backgrid,-4.03349025834435E-08,negative
platform-independent,-4.03222172440859E-08,neutral
seam,-4.03000420199254E-08,neutral
safearealayoutguide,-4.02862109341569E-08,neutral
encode,-4.02501706457151E-08,neutral
linq-to-twitter,-4.02443101691891E-08,negative
facebook-canvas,-4.02099156295411E-08,neutral
angular-changedetection,-4.02005335071573E-08,neutral
phpquery,-4.01878424802499E-08,negative
libsvm,-4.01859369214699E-08,neutral
rx-android,-4.01749182876563E-08,neutral
katalon-recorder,-4.01405676150978E-08,negative
viewparams,-4.01336192057653E-08,negative
angular-ivy,-4.01050039553642E-08,neutral
telerik-open-access,-4.00571802296485E-08,negative
project-settings,-4.00403615478043E-08,negative
viewcontroller,-4.00064066990826E-08,neutral
railsapps,-3.99897122813517E-08,negative
internet-radio,-3.99777979804419E-08,negative
unrealscript,-3.99709200301399E-08,negative
vue-tables-2,-3.99592086198107E-08,negative
contentobserver,-3.99508620371633E-08,negative
facebook-workplace,-3.9933776741407E-08,negative
greasemonkey-4,-3.99316970379817E-08,negative
glusterfs,-3.99224826727388E-08,negative
google-code-prettify,-3.99050968996811E-08,negative
slimdx,-3.98820598102536E-08,neutral
midp-2.0,-3.98752204763546E-08,negative
wamp-protocol,-3.98315536877641E-08,negative
gae-module,-3.97878279160097E-08,negative
facebook-test-users,-3.9783955881506E-08,negative
visualstates,-3.9649960188866E-08,negative
reach-router,-3.96473345347381E-08,negative
ipod,-3.96293683505895E-08,neutral
angular-templatecache,-3.95979909807318E-08,neutral
jplayer,-3.95953223871145E-08,neutral
select-menu,-3.95931939750417E-08,neutral
distinguishedname,-3.95741742792434E-08,negative
listjs,-3.95377633945362E-08,negative
recoiljs,-3.9528499665365E-08,neutral
clojure.spec,-3.94699592137198E-08,negative
double-click-advertising,-3.94569534330499E-08,negative
riot.js,-3.94255451972576E-08,negative
android-wear-data-api,-3.94164683998413E-08,negative
slick-3.0,-3.9404562127555E-08,neutral
jocl,-3.93918170503744E-08,negative
windows-server-2012,-3.93897349663967E-08,neutral
google-gadget,-3.93477425103955E-08,neutral
relationships,-3.93332606627005E-08,neutral
clregion,-3.93072235886073E-08,negative
performanceanalytics,-3.93011329106704E-08,negative
uiwindow,-3.92982992057492E-08,neutral
dbaccess,-3.92909569289181E-08,negative
synchronized-block,-3.92697096000782E-08,negative
firebase-invites,-3.92563436672084E-08,negative
imp,-3.92023085509145E-08,negative
sql-server-group-concat,-3.91997018341383E-08,negative
web2py,-3.91541929523613E-08,neutral
comet,-3.91490091823825E-08,neutral
code-rally,-3.91404766771517E-08,negative
aec,-3.91359237634336E-08,negative
sts-springsourcetoolsuite,-3.91347702144677E-08,neutral
googlemock,-3.91347527624208E-08,neutral
generic-variance,-3.90977297761597E-08,negative
gibbon,-3.90932736935811E-08,negative
rakudo,-3.90717764610617E-08,neutral
wicket-6,-3.90195140244382E-08,neutral
iso-prolog,-3.90102298973676E-08,negative
iostat,-3.89338706851506E-08,negative
application-loader,-3.8912385114017E-08,negative
angular-ng-if,-3.88993470368596E-08,neutral
svn-hooks,-3.88882791093415E-08,neutral
gnuwin32,-3.88721128465977E-08,negative
c3.js,-3.88321938968956E-08,neutral
umbraco-blog,-3.88139139512628E-08,negative
base32,-3.87920661747388E-08,neutral
session-fixation,-3.87881673870344E-08,negative
highlighting,-3.87791795099633E-08,neutral
visual-studio-addins,-3.87294522774716E-08,neutral
gnu-assembler,-3.87261974479862E-08,neutral
cedit,-3.86651754329003E-08,neutral
blaze,-3.8593760600055E-08,negative
windowlistener,-3.85903314756692E-08,negative
computed-properties,-3.85763706504571E-08,negative
angular-cookies,-3.8567897574694E-08,negative
callouts,-3.85607891616887E-08,neutral
paintcode,-3.85331184286608E-08,negative
getgauge,-3.85305421804384E-08,neutral
nsrangeexception,-3.85218929065569E-08,negative
wcm,-3.84879658835341E-08,negative
workflow-activity,-3.84801675402714E-08,neutral
valueinjecter,-3.83725038726284E-08,negative
catransaction,-3.83591480072912E-08,negative
bucklescript,-3.83202588917889E-08,negative
webexception,-3.82762720429047E-08,negative
daemons,-3.82603801318185E-08,negative
ruby-on-rails-6.1,-3.82545568876196E-08,neutral
oc4j,-3.82438466278705E-08,neutral
netflix-zuul,-3.82360019345214E-08,neutral
rcpparmadillo,-3.82326504938069E-08,negative
custom-arrayadapter,-3.81699045575623E-08,neutral
citrus-framework,-3.81091009250333E-08,negative
nszombie,-3.80726677134867E-08,negative
dacl,-3.80596108636218E-08,negative
derby,-3.80473606952403E-08,neutral
fibonacci-heap,-3.80268995230237E-08,negative
growl,-3.80102527253701E-08,negative
defaultlistmodel,-3.79989964518808E-08,negative
duplicate-data,-3.79385891650194E-08,neutral
connected-react-router,-3.78695366018112E-08,negative
filepicker.io,-3.78431593382395E-08,neutral
php4,-3.78402223040582E-08,neutral
pyppeteer,-3.78400871885531E-08,negative
intern,-3.77873522671442E-08,neutral
azure-data-lake,-3.77848219856709E-08,neutral
php-include,-3.77692727565818E-08,negative
chapel,-3.77641863375699E-08,neutral
directory-structure,-3.77622842999138E-08,neutral
infopath,-3.77441746652773E-08,neutral
bounding,-3.76885946930538E-08,negative
activity-transition,-3.76700434497516E-08,negative
do-notation,-3.76588685414029E-08,neutral
manytomanyfield,-3.76186292031972E-08,neutral
